participant_id,task,block,trial_index,rt,correct,timestamp,word,ink_color,congruency
sim-00000042,stroop,test,0,885.5,1,2026-01-01T00:00:00+00:00,GREEN,red,incongruent
sim-00000042,stroop,test,1,651.1,1,2026-01-01T00:00:03+00:00,GREEN,yellow,incongruent
sim-00000042,stroop,test,2,815.2,1,2026-01-01T00:00:06+00:00,GREEN,yellow,incongruent
sim-00000042,stroop,test,3,764.0,1,2026-01-01T00:00:09+00:00,GREEN,blue,incongruent
sim-00000042,stroop,test,4,754.6,1,2026-01-01T00:00:12+00:00,YELLOW,yellow,congruent
sim-00000042,stroop,test,5,758.1,1,2026-01-01T00:00:15+00:00,YELLOW,red,incongruent
sim-00000042,stroop,test,6,575.1,1,2026-01-01T00:00:18+00:00,YELLOW,green,incongruent
sim-00000042,stroop,test,7,673.3,1,2026-01-01T00:00:21+00:00,BLUE,green,incongruent
sim-00000042,stroop,test,8,546.1,1,2026-01-01T00:00:24+00:00,RED,red,congruent
sim-00000042,stroop,test,9,709.8,1,2026-01-01T00:00:27+00:00,RED,yellow,incongruent
sim-00000042,stroop,test,10,720.3,1,2026-01-01T00:00:30+00:00,BLUE,blue,congruent
sim-00000042,stroop,test,11,708.2,1,2026-01-01T00:00:33+00:00,YELLOW,red,incongruent
sim-00000042,stroop,test,12,627.0,1,2026-01-01T00:00:36+00:00,YELLOW,yellow,congruent
sim-00000042,stroop,test,13,514.0,1,2026-01-01T00:00:39+00:00,RED,red,congruent
sim-00000042,stroop,test,14,667.1,1,2026-01-01T00:00:42+00:00,YELLOW,yellow,congruent
sim-00000042,stroop,test,15,769.0,1,2026-01-01T00:00:45+00:00,GREEN,red,incongruent
sim-00000042,stroop,test,16,804.8,1,2026-01-01T00:00:48+00:00,BLUE,green,incongruent
sim-00000042,stroop,test,17,606.4,1,2026-01-01T00:00:51+00:00,GREEN,green,congruent
sim-00000042,stroop,test,18,808.4,1,2026-01-01T00:00:54+00:00,YELLOW,blue,incongruent
sim-00000042,stroop,test,19,707.7,1,2026-01-01T00:00:57+00:00,YELLOW,yellow,congruent
sim-00000042,stroop,test,20,738.2,1,2026-01-01T00:01:00+00:00,BLUE,green,incongruent
sim-00000042,stroop,test,21,640.4,1,2026-01-01T00:01:03+00:00,GREEN,green,congruent
sim-00000042,stroop,test,22,591.3,0,2026-01-01T00:01:06+00:00,YELLOW,red,incongruent
sim-00000042,stroop,test,23,541.3,1,2026-01-01T00:01:09+00:00,GREEN,green,congruent
sim-00000042,stroop,test,24,707.2,1,2026-01-01T00:01:12+00:00,YELLOW,blue,incongruent
sim-00000042,stroop,test,25,725.3,1,2026-01-01T00:01:15+00:00,YELLOW,blue,incongruent
sim-00000042,stroop,test,26,609.3,1,2026-01-01T00:01:18+00:00,GREEN,green,congruent
sim-00000042,stroop,test,27,802.1,1,2026-01-01T00:01:21+00:00,BLUE,red,incongruent
sim-00000042,stroop,test,28,576.5,1,2026-01-01T00:01:24+00:00,BLUE,red,incongruent
sim-00000042,stroop,test,29,777.9,1,2026-01-01T00:01:27+00:00,GREEN,yellow,incongruent
sim-00000042,stroop,test,30,621.3,1,2026-01-01T00:01:30+00:00,RED,red,congruent
sim-00000042,stroop,test,31,671.5,1,2026-01-01T00:01:33+00:00,BLUE,blue,congruent
sim-00000042,stroop,test,32,850.2,1,2026-01-01T00:01:36+00:00,RED,blue,incongruent
sim-00000042,stroop,test,33,507.3,1,2026-01-01T00:01:39+00:00,BLUE,blue,congruent
sim-00000042,stroop,test,34,538.8,1,2026-01-01T00:01:42+00:00,RED,red,congruent
sim-00000042,stroop,test,35,726.2,1,2026-01-01T00:01:45+00:00,GREEN,green,congruent
sim-00000042,stroop,test,36,473.5,1,2026-01-01T00:01:48+00:00,GREEN,green,congruent
sim-00000042,stroop,test,37,850.6,1,2026-01-01T00:01:51+00:00,GREEN,yellow,incongruent
sim-00000042,stroop,test,38,699.7,1,2026-01-01T00:01:54+00:00,BLUE,blue,congruent
sim-00000042,stroop,test,39,394.2,1,2026-01-01T00:01:57+00:00,GREEN,green,congruent
sim-00000042,stroop,test,40,600.2,1,2026-01-01T00:02:00+00:00,YELLOW,yellow,congruent
sim-00000042,stroop,test,41,877.9,1,2026-01-01T00:02:03+00:00,GREEN,red,incongruent
sim-00000042,stroop,test,42,631.0,1,2026-01-01T00:02:06+00:00,RED,red,congruent
sim-00000042,stroop,test,43,691.6,1,2026-01-01T00:02:09+00:00,GREEN,red,incongruent
sim-00000042,stroop,test,44,962.2,1,2026-01-01T00:02:12+00:00,RED,blue,incongruent
sim-00000042,stroop,test,45,590.1,1,2026-01-01T00:02:15+00:00,GREEN,green,congruent
sim-00000042,stroop,test,46,534.2,1,2026-01-01T00:02:18+00:00,RED,red,congruent
sim-00000042,stroop,test,47,551.4,1,2026-01-01T00:02:21+00:00,BLUE,blue,congruent
